alternate,line_id,station_id
Niquia,A,niquia
Bello,A,bello
Madera,A,madera
Acevedo,A,acevedo
tricentenario,A,tricentenario
caribe,A,caribe
Universidad,A,universidad
Hospital,A,hospital
Prado,A,prado
Parque Berrío,A,parque_berrío
San Antonio,A,san_antonio
Alpujarra,A,alpujarra
Exposiciones,A,exposiciones
Industriales,A,industriales
Poblado,A,poblado
Aguacatala,A,aguacatala
Ayura,A,ayura
Envigado,A,envigado
Itagui,A,itagui
Sabaneta,A,sabaneta
La Estrella,A,la_estrella
Arví,L,arví
Santo Domingo,L,santo_domingo
Santo Domingo,K,santo_domingo
Popular,K,popular
Andalucia,K,andalucia
Acevedo,K,acevedo
Acevedo,P,acevedo
SENA,P,SENA
Doce De Octubre,P,doce_de_octubre
El Progreso,P,el_progreso
Caribe,O,caribe
Universal,O,universal
Córdoba,O,córdoba
Pilarica,O,pilarica
Ciudadela Universitaria,O,ciudadela_universitaria
Facultad De Minas,O,facultad_de_minas
Los Colores,O,los_colores
Calasanz,O,calasanz
Floresta,O,floresta
Los Pinos,O,los_pinos
Laureles,O,laureles
Santa Gema,O,santa_gema
Villa De Aburrá,O,villa_de_aburra
La Palma,O,la palma
Villa Sierra,H,villa_sierra
Las Torres,H,las_torres
Oriente,H,oriente
Oriente,T,oriente
Alejandro Echevarría,T,alejandro_echevarría
Loyola,T,loyola
Miraflores,T,miraflores
Buenos Aires,T,buenos_aires
Bicentenario,T,bicentenario
Pabellón del Agua EPM,T,EPM
San José,T,san_josé
San Antonio,T,san_antonio
Trece de Noviembre,M,trece_de_noviembre
El Pinal,M,el_pinal
Miraflores,M,miraflores
San Antonio,B,san_antonio
Cisneros,B,cisneros
Suramericana,B,suramericana
Estadio,B,estadio
Floresta,B,floresta
Santa Lucía,B,santa_lucía
San Javier,B,san javier
La Aurora,J,la_aurora
Vallejuelos,J,vallejuelos
Juan XXIII,J,juan_XXIII
San Javier,J,san_javier
Parque Aranjuez,1,parque_aranjuez
Berlin,1,berlín
Las Esmeraldas,1,las_esmeraldas
Manrique,1,manrique
Gardel,1,gardel
Palos Verdes,1,palos_verdes
Hospital,1,hospital
U.de.A,1,u.de.a
udea,1,u.de.a
UdeA,1,u.de.a
Universidad de Antioquia,1,u.de.a
Chagualo,1,chagualo
Minorista,1,minorista
Cisneros,1,cisneros
Plaza Mayor,1,plaza_mayor
Industriales,1,industriales
Nutibara,1,nutibara
Fatima,1,fátima
Rosales,1,rosales
Parque Belen,1,parque_belén
La Palma,1,la_palma
Los Alpes,1,los_alpes
U.de.M,1,u.de.m
Universidad de Medellin,1,u.de.m
Parque Aranjuez,2,parque_aranjuez
Berlin,2,berlín
Las Esmeraldas,2,las_esmeraldas
Manrique,2,manrique
Gardel,2,gardel
Palos Verdes,2,palos_verdes
Prado,2,prado
Catedral,2,catedral
La Playa,2,la_playa
San José,2,san_josé
Barrio Colón,2,barrio_colón
Perpetuo Socorro,2,perpeturo_socorro
Barrio Colombia,2,barrio_colombia
Industriales,2,industriales
Nutibara,2,nutibara
Fatima,2,fátima
Rosales,2,rosales
Parque Belen,2,parque_belén
La Palma,2,la_palma
Los Alpes,2,los_alpes
U.de.M,2,udem
Universidad de Medellin,2,udem
